HAMILTON
12 - 4:162.1, 0(Clear)
12 - 5:134.01, 1(Clear)
12 - 6:108.271, 1(Clear)
12 - 7:108.517, 1(Clear)
12 - 8:107.786, 1(Clear)
12 - 9:107.683, 1(Clear)
12 - 10:108.896, 1(Clear)
12 - 11:109.516, 1(Clear)
12 - 12:108.867, 1(Clear)
12 - 13:109.731, 1(Clear)
12 - 14:109.488, 1(Clear)
12 - 15:109.045, 1(Clear)
12 - 16:109.234, 1(Clear)
12 - 17:108.432, 1(Clear)
12 - 18:108.557, 1(Clear)
12 - 19:112.373, 2(Clear)
12 - 20:126.689, 0(Clear)
12 - 21:106.495, 1(Clear)
12 - 22:106.793, 1(Clear)
12 - 23:106.449, 1(Clear)
12 - 24:106.492, 1(Clear)
12 - 25:105.998, 1(Clear)
12 - 26:105.979, 1(Clear)
12 - 27:106.055, 1(Clear)
12 - 28:106.612, 1(Clear)
12 - 29:106.12, 1(Clear)
12 - 30:106.188, 1(Clear)
12 - 31:106.487, 1(Clear)
12 - 32:106.262, 1(Clear)
12 - 33:109.094, 1(Clear)
12 - 34:107.088, 1(Clear)
12 - 35:107.232, 1(Clear)
12 - 36:107.552, 1(Clear)
12 - 37:107.933, 1(Clear)
12 - 38:107.557, 1(Clear)
12 - 39:114.152, 2(Clear)
12 - 40:124.425, 0(Clear)
12 - 41:104.579, 1(Clear)
12 - 42:105.071, 1(Clear)
12 - 43:105.402, 1(Clear)
12 - 44:105.132, 1(Clear)
12 - 45:104.72, 1(Clear)
12 - 46:104.839, 1(Clear)
12 - 47:105.62, 1(Clear)
12 - 48:105.489, 1(Clear)
12 - 49:105.093, 1(Clear)
12 - 50:105.365, 1(Clear)
12 - 51:105.395, 1(Clear)
12 - 52:106.027, 1(Clear)
12 - 53:105.822, 1(Clear)
12 - 54:106.793, 1(Clear)
12 - 55:106.311, 1(Clear)
SAINZ
13 - 0:120.068, 1(Clear)
13 - 1:108.634, 1(Clear)
13 - 2:108.819, 1(Clear)
13 - 3:131.863, 1(Clear)
13 - 4:139.148, 1(Clear)
13 - 5:154.84, 1(Clear)
13 - 6:108.881, 1(Clear)
13 - 7:108.418, 1(Clear)
13 - 8:108.163, 1(Clear)
13 - 9:108.707, 1(Clear)
13 - 10:109.251, 1(Clear)
13 - 11:109.236, 1(Clear)
13 - 12:109.556, 1(Clear)
13 - 13:114.338, 2(Clear)
13 - 14:126.593, 0(Clear)
13 - 15:106.997, 1(Clear)
13 - 16:107.317, 1(Clear)
13 - 17:106.786, 1(Clear)
13 - 18:107.28, 1(Clear)
13 - 19:107.917, 1(Clear)
13 - 20:108.852, 1(Clear)
13 - 21:106.824, 1(Clear)
13 - 22:107.285, 1(Clear)
13 - 23:107.529, 1(Clear)
13 - 24:107.314, 1(Clear)
13 - 25:107.471, 1(Clear)
